Date,Open,High,Low,Close,Adj Close,Volume
2020-05-22,2.522000,2.657000,2.495000,2.589000,2.239453,32614624
2020-05-25,2.640000,2.653000,2.590000,2.650000,2.292218,13928455
2020-05-26,2.690000,2.826000,2.685000,2.825000,2.443590,37507524
2020-05-27,2.850000,2.978000,2.842000,2.921000,2.526629,52071160
2020-05-28,2.986000,2.999000,2.861000,2.931000,2.535279,30618946
2020-05-29,2.880000,2.897000,2.782000,2.793000,2.415911,40197537
2020-06-01,2.871000,2.889000,2.796000,2.861000,2.474730,18136613
2020-06-02,2.872000,3.044000,2.841000,3.005000,2.599288,31192816
2020-06-03,3.050000,3.171000,3.038000,3.160000,2.733361,32899173
2020-06-04,3.117000,3.270000,3.093000,3.212000,2.778341,48966605
2020-06-05,3.300000,3.539000,3.277000,3.527000,3.050812,51923774
2020-06-08,3.485000,3.646000,3.465000,3.550000,3.070707,45134191
2020-06-09,3.501000,3.529000,3.327000,3.408000,2.947878,38346687
2020-06-10,3.450000,3.496000,3.309000,3.313000,2.865705,46917994
2020-06-11,3.170000,3.238000,3.087000,3.095000,2.677137,35112705
2020-06-12,3.036000,3.210000,3.024000,3.129000,2.706547,37840196
2020-06-15,2.978000,3.103000,2.973000,3.055000,2.642538,30677232
2020-06-16,3.190000,3.228000,3.084000,3.153000,2.727306,29121399
2020-06-17,3.150000,3.244000,3.122000,3.159000,2.732496,25482678
2020-06-18,3.135000,3.217000,3.055000,3.101000,2.682327,42076869
2020-06-19,3.147000,3.189000,3.093000,3.106000,2.686652,89746274
2020-06-22,3.076000,3.112000,3.026000,3.063000,2.649457,16093990
2020-06-23,3.095000,3.229000,3.081000,3.185000,2.754986,32441247
2020-06-24,3.150000,3.195000,3.026000,3.032000,2.622643,18545400
2020-06-25,3.000000,3.084000,2.960000,3.071000,2.656377,59819081
2020-06-26,3.110000,3.130000,2.998000,2.998000,2.593233,24638639
2020-06-29,3.000000,3.113000,2.964000,3.082000,2.665892,18478173
